ordem_global	id_protocolo	sujeito	problema_quadro	categoria	tarefa	avaliacao_ce	task_family	artifact_family	fase_protocolo	historico_erros	consecutivos_bin	ultima_avaliacao	feedback_previo	ajuda_previa	repete_familia	posicao_rotulada	erros_anteriores	acertos_anteriores	erros_consecutivos_antes	pred_j48_cv	pred_part_cv
365	PR0014	S(19-07-10)	06	Composição	Associar o todo ao modelo	C	posicionamento	diagrama	intermediaria2	1a2	zero	C	1	0	1	9	2	6	0	C	C
370	PR0015	S(19-07-10)	07	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
372	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	E	outra	interface	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
373	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	C	outra	interface	inicio	1a2	um	E	0	0	1	3	1	1	1	E	E
377	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	E	outra	interface	intermediaria1	1a2	zero	C	0	0	1	4	1	2	0	E	C
378	PR0015	S(19-07-10)	07	Transformação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	um	E	0	0	0	5	2	2	1	E	E
383	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	E	outra	interface	intermediaria1	3a5	dois	E	0	0	0	6	3	2	2	E	E
384	PR0015	S(19-07-10)	07	Transformação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria1	3a5	tresmais	E	0	0	0	7	4	2	3	E	E
389	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	E	outra	interface	intermediaria2	3a5	tresmais	E	0	0	0	8	5	2	4	E	E
390	PR0015	S(19-07-10)	07	Transformação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria2	6mais	tresmais	E	0	0	0	9	6	2	5	E	C
395	PR0015	S(19-07-10)	07	Transformação	Executar ação do sujeito	E	outra	interface	intermediaria2	6mais	tresmais	E	0	0	0	10	7	2	6	E	E
396	PR0015	S(19-07-10)	07	Transformação	Associar incorretamente o número relativo ao modelo	E	posicionamento	diagrama	intermediaria2	6mais	tresmais	E	0	0	0	11	8	2	7	E	C
405	PR0015	S(19-07-10)	07	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria2	6mais	tresmais	E	0	1	1	12	9	2	8	E	C
408	PR0015	S(19-07-10)	07	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria2	6mais	zero	C	0	0	1	13	9	3	0	C	C
411	PR0015	S(19-07-10)	07	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria2	6mais	zero	C	0	0	0	14	9	4	0	E	E
414	PR0015	S(19-07-10)	07	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria2	6mais	zero	C	0	0	0	15	9	5	0	E	C
418	PR0015	S(19-07-10)	07	Transformação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	tardia	6mais	zero	C	1	0	1	16	9	6	0	C	C
427	PR0016	S8	01	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
432	PR0016	S8	01	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	C
442	PR0016	S8	01	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	dois	E	0	0	1	3	2	0	2	E	C
