antecedente	consequente	suporte	confianca	lift	tamanho
categoria=Composição	ajuda_previa=0 & avaliacao=C	0.14670255720053835	0.7032258064516128	1.190197663311044	3
acao=posicionamento & categoria=Composição & consecutivos=zero	avaliacao=C	0.06460296096904442	0.8275862068965517	1.1893550323484292	4
fase=inicio & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.2234185733512786	0.70042194092827	1.185452168814817	4
ajuda_previa=0 & categoria=Composição & historico_erros=zero	avaliacao=C	0.07537012113055182	0.823529411764706	1.1835248606212312	4
ajuda_previa=0 & artefato=diagrama & feedback_previo=1	avaliacao=C	0.06864064602960969	0.8225806451612904	1.1821613527172896	4
ajuda_previa=0 & categoria=Composição & consecutivos=zero	avaliacao=C	0.12382234185733512	0.8214285714285714	1.1805056645482177	4
categoria=Composição & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.0740242261103634	0.8208955223880597	1.1797395998729756	4
categoria=Composição & fase=intermediaria1	avaliacao=C	0.06056527590847914	0.8181818181818181	1.1758396342535606	3
categoria=Composição & consecutivos=zero	avaliacao=C	0.13593539703903096	0.8145161290322581	1.170571535533787	3
categoria=Composição & consecutivos=zero & feedback_previo=0	avaliacao=C	0.12113055181695828	0.8108108108108109	1.1652464843954207	4
categoria=Composição & historico_erros=zero	avaliacao=C	0.08075370121130551	0.8108108108108107	1.1652464843954204	3
categoria=Composição & consecutivos=zero & historico_erros=zero	avaliacao=C	0.08075370121130551	0.8108108108108107	1.1652464843954204	4
ajuda_previa=0 & artefato=outro & feedback_previo=0	avaliacao=C	0.09152086137281291	0.8095238095238095	1.1633968868011422	4
ajuda_previa=0 & categoria=Composição	avaliacao=C	0.14670255720053835	0.8014705882352942	1.151823301854591	3
artefato=outro & feedback_previo=0	avaliacao=C	0.09152086137281291	0.7999999999999999	1.1497098646034816	3
ajuda_previa=0 & categoria=Composição & feedback_previo=0	avaliacao=C	0.13324360699865412	0.7983870967741936	1.1473919011667812	4
acao=posicionamento & feedback_previo=1 & historico_erros=1a2	avaliacao=C	0.052489905787348586	0.7959183673469388	1.1438439979473414	4
categoria=Composição & fase=inicio & feedback_previo=0	avaliacao=C	0.07806191117092867	0.7945205479452055	1.1418351395034578	4
categoria=Composição & feedback_previo=0	avaliacao=C	0.14535666218034993	0.7941176470588236	1.1412561155990444	3
categoria=Composição	avaliacao=C	0.1655450874831763	0.7935483870967742	1.1404380108566794	2
ajuda_previa=0 & artefato=outro	avaliacao=C	0.09286675639300135	0.7931034482758621	1.1397985726672448	3
categoria=Composição & fase=inicio & historico_erros=zero	avaliacao=C	0.06191117092866756	0.793103448275862	1.1397985726672446	4
ajuda_previa=0 & categoria=Composição & fase=inicio	avaliacao=C	0.07671601615074024	0.7916666666666666	1.1377337201805287	4
artefato=diagrama & feedback_previo=1 & historico_erros=1a2	avaliacao=C	0.05518169582772544	0.7884615384615385	1.1331275107870853	4
ajuda_previa=0 & consecutivos=zero & fase=intermediaria1	avaliacao=C	0.1655450874831763	0.7884615384615384	1.1331275107870853	4
artefato=outro	avaliacao=C	0.09421265141318977	0.7865168539325843	1.1303327320539849	2
acao=posicionamento & consecutivos=zero & fase=intermediaria1	avaliacao=C	0.10901749663526245	0.7864077669902912	1.1301759591369176	4
categoria=Composição & fase=inicio	avaliacao=C	0.07806191117092867	0.7837837837837838	1.1264049349155731	3
ajuda_previa=0 & feedback_previo=1	avaliacao=C	0.08209959623149395	0.782051282051282	1.1239150920001983	3
acao=posicionamento & ajuda_previa=0 & historico_erros=zero	avaliacao=C	0.11574697173620457	0.7818181818181817	1.1235800949534023	4
acao=resultado	avaliacao=C	0.06594885598923284	0.7777777777777777	1.117773479475607	2
categoria=Composição & consecutivos=zero & fase=inicio	avaliacao=C	0.06594885598923284	0.7777777777777777	1.117773479475607	4
acao=resultado & feedback_previo=0	avaliacao=C	0.05114401076716016	0.7755102040816326	1.1145146646666404	3
artefato=diagrama & fase=intermediaria2 & feedback_previo=0	avaliacao=C	0.05114401076716016	0.7755102040816326	1.1145146646666404	4
acao=posicionamento & fase=intermediaria2	avaliacao=C	0.06460296096904442	0.7741935483870968	1.1126224496162724	3
acao=posicionamento & categoria=Transformação & consecutivos=zero	avaliacao=C	0.06460296096904442	0.7741935483870968	1.1126224496162724	4
acao=posicionamento & artefato=diagrama & fase=intermediaria2	avaliacao=C	0.06460296096904442	0.7741935483870968	1.1126224496162724	4
ajuda_previa=0 & categoria=Comparação & historico_erros=zero	avaliacao=C	0.10497981157469717	0.7722772277227723	1.1098684336518758	4
artefato=diagrama & consecutivos=zero & fase=intermediaria1	avaliacao=C	0.11843876177658143	0.7719298245614036	1.1093691675998507	4
acao=posicionamento & ajuda_previa=0 & consecutivos=zero	avaliacao=C	0.21399730820995963	0.7718446601941749	1.1092467747084562	4
ajuda_previa=0 & consecutivos=zero & historico_erros=1a2	avaliacao=C	0.13055181695827725	0.7698412698412698	1.1063676276442234	4
acao=posicionamento & historico_erros=zero	avaliacao=C	0.1278600269179004	0.7661290322580646	1.1010326324327697	3
acao=posicionamento & consecutivos=zero & historico_erros=zero	avaliacao=C	0.1278600269179004	0.7661290322580646	1.1010326324327697	4
consecutivos=zero & historico_erros=1a2	avaliacao=C	0.1480484522207268	0.763888888888889	1.0978132387706856	3
consecutivos=zero & fase=intermediaria1	avaliacao=C	0.18707940780619112	0.7637362637362637	1.0975938954662359	3
artefato=diagrama & consecutivos=zero & historico_erros=1a2	avaliacao=C	0.0955585464333782	0.7634408602150539	1.0971693600382688	4
ajuda_previa=0 & historico_erros=zero	avaliacao=C	0.28936742934051146	0.7624113475177305	1.09568980890846	3
ajuda_previa=0 & consecutivos=zero & historico_erros=zero	avaliacao=C	0.28936742934051146	0.7624113475177305	1.09568980890846	4
acao=posicionamento & feedback_previo=1	avaliacao=C	0.10363391655450875	0.7623762376237624	1.0956393511691596	3
acao=posicionamento & artefato=diagrama & feedback_previo=1	avaliacao=C	0.10363391655450875	0.7623762376237624	1.0956393511691596	4
ajuda_previa=0 & artefato=diagrama & consecutivos=zero	avaliacao=C	0.2274562584118439	0.7612612612612613	1.0940369770157004	4
acao=posicionamento & consecutivos=zero	avaliacao=C	0.23822341857335128	0.759656652360515	1.0917309336631773	3
categoria=Comparação & historico_erros=zero	avaliacao=C	0.1063257065948856	0.7596153846153847	1.0916716262460944	3
categoria=Comparação & consecutivos=zero & historico_erros=zero	avaliacao=C	0.1063257065948856	0.7596153846153847	1.0916716262460944	4
acao=posicionamento & fase=intermediaria1 & feedback_previo=1	avaliacao=C	0.05518169582772544	0.7592592592592593	1.0911598252023784	4
ajuda_previa=0 & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.26379542395693134	0.7567567567567567	1.0875633854357258	4
consecutivos=zero & fase=intermediaria2	avaliacao=C	0.07537012113055182	0.7567567567567567	1.0875633854357258	3
ajuda_previa=0 & artefato=diagrama & historico_erros=1a2	avaliacao=C	0.11709286675639301	0.7565217391304347	1.0872256328315533	4
categoria=Comparação & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.09959623149394348	0.7551020408163266	1.0851853313859394	4
ajuda_previa=0 & categoria=Comparação & consecutivos=zero	avaliacao=C	0.1695827725437416	0.7544910179640719	1.0843072076350202	4
acao=posicionamento & artefato=diagrama & consecutivos=zero	avaliacao=C	0.2274562584118439	0.7544642857142857	1.0842687897209173	4
artefato=diagrama & fase=intermediaria1 & feedback_previo=1	avaliacao=C	0.05787348586810229	0.7543859649122807	1.0841562319725813	4
ajuda_previa=0 & artefato=diagrama & fase=intermediaria2	avaliacao=C	0.05787348586810229	0.7543859649122807	1.0841562319725813	4
ajuda_previa=0 & consecutivos=zero & fase=intermediaria2	avaliacao=C	0.06594885598923284	0.7538461538461538	1.083380449337896	4
ajuda_previa=0 & consecutivos=zero	avaliacao=C	0.477792732166891	0.7537154989384289	1.0831926802925584	3
historico_erros=zero	avaliacao=C	0.3082099596231494	0.7532894736842106	1.0825804234958771	2
consecutivos=zero & historico_erros=zero	avaliacao=C	0.3082099596231494	0.7532894736842106	1.0825804234958771	3
acao=posicionamento & artefato=diagrama & historico_erros=zero	avaliacao=C	0.11709286675639301	0.75	1.077852998065764	4
ajuda_previa=0 & artefato=diagrama & historico_erros=zero	avaliacao=C	0.10767160161507403	0.7476635514018691	1.0744952005640014	4
consecutivos=zero	avaliacao=C	0.5235531628532974	0.7466410748560461	1.0730257613501786	2
consecutivos=zero & fase=intermediaria2 & feedback_previo=0	avaliacao=C	0.05114401076716016	0.7450980392156863	1.0708082072287328	4
feedback_previo=0 & historico_erros=zero	avaliacao=C	0.27860026917900405	0.7446043165467626	1.070098659950183	3
consecutivos=zero & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.27860026917900405	0.7446043165467626	1.070098659950183	4
consecutivos=zero & fase=intermediaria1 & feedback_previo=0	avaliacao=C	0.15208613728129206	0.743421052631579	1.0683981472055382	4
acao=posicionamento & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.1009421265141319	0.7425742574257426	1.0671811862037268	4
artefato=diagrama & consecutivos=zero	avaliacao=C	0.2557200538358008	0.7421875	1.0666253626692457	3
ajuda_previa=0 & consecutivos=zero & feedback_previo=0	avaliacao=C	0.41184387617765816	0.7409200968523003	1.064803930292571	4
ajuda_previa=0 & artefato=diagrama & fase=intermediaria1	avaliacao=C	0.13324360699865412	0.7388059701492539	1.061765639885678	4
acao=posicionamento & ajuda_previa=0 & fase=intermediaria1	avaliacao=C	0.12516823687752354	0.738095238095238	1.0607442203186883	4
ajuda_previa=0 & categoria=Comparação & fase=intermediaria1	avaliacao=C	0.08209959623149395	0.7349397590361446	1.0562093635664516	4
ajuda_previa=0 & fase=inicio & historico_erros=zero	avaliacao=C	0.2234185733512786	0.7345132743362832	1.0555964464832852	4
categoria=Comparação & consecutivos=zero	avaliacao=C	0.17496635262449528	0.7344632768361582	1.055524593209411	3
artefato=diagrama & feedback_previo=1	avaliacao=C	0.10767160161507403	0.7339449541284404	1.0547796922967723	3
consecutivos=zero & feedback_previo=0 & historico_erros=1a2	avaliacao=C	0.1224764468371467	0.7338709677419355	1.0546733636987584	4
acao=posicionamento & consecutivos=zero & historico_erros=1a2	avaliacao=C	0.0740242261103634	0.7333333333333334	1.0539007092198582	4
consecutivos=zero & feedback_previo=0	avaliacao=C	0.4468371467025572	0.7328918322295805	1.0532662115020857	3
consecutivos=zero & fase=intermediaria1 & historico_erros=1a2	avaliacao=C	0.09959623149394348	0.7326732673267327	1.0529521037210103	4
acao=posicionamento & ajuda_previa=0	avaliacao=C	0.2611036339165545	0.7320754716981133	1.0520929893069597	3
acao=posicionamento & ajuda_previa=0 & historico_erros=1a2	avaliacao=C	0.0955585464333782	0.731958762886598	1.0519252627171032	4
categoria=Comparação & consecutivos=zero & fase=intermediaria1	avaliacao=C	0.06594885598923284	0.7313432835820896	1.0510407344322874	4
ajuda_previa=0 & fase=intermediaria1 & historico_erros=1a2	avaliacao=C	0.11709286675639301	0.73109243697479	1.050680233408644	4
artefato=diagrama & historico_erros=1a2	avaliacao=C	0.15343203230148048	0.7307692307692307	1.0502157417051032	3
